TICKER,date,PRC,VOL,RET,vwretd,ewretd
HPE,20160429,16.66,1611978.0,-0.060350,0.011737,0.039878
HPE,20160531,18.47,2434118.0,0.108643,0.014269,-0.000625
HPE,20160630,18.27,2893494.0,-0.007851,0.002926,0.005826
HPE,20160729,21.02,1873781.0,0.150520,0.038846,0.049896
HPE,20160831,21.48,1866316.0,0.021884,0.0028,0.013063
HPE,20160930,22.75,2679716.0,0.059125,0.00302,0.015381
HPE,20161031,22.47,2160264.0,-0.009890,-0.021586,-0.039942
HPE,20161130,23.8,2881649.0,0.059190,0.040546,0.050511
HPE,20161230,23.14,2015626.0,-0.025000,0.018768,0.015881
HPE,20170131,22.68,1807747.0,-0.019879,0.022177,0.025942
HPE,20170228,22.82,2170360.0,0.006173,0.032632,0.017117
HPE,20170331,23.7,2651771.0,0.041411,0.002095,0.00641
HPE,20170428,18.63,2763615.0,0.047221,0.009628,0.003691
HPE,20170531,18.81,2834335.0,0.009662,0.009303,-0.011327
HPE,20170630,16.59,3159778.0,-0.114567,0.009551,0.022945
HPE,20170731,17.51,2055641.0,0.055455,0.020309,0.009089
HPE,20170831,18.06,1679308.0,0.031411,0.001575,-0.00874
HPE,20170929,14.71,4155586.0,0.046962,0.023777,0.046863
HPE,20171031,13.92,2258261.0,-0.053705,0.019277,0.002217
HPE,20171130,13.95,2775076.0,0.002155,0.027252,0.020848
HPE,20171229,14.36,1840746.0,0.034767,0.012153,0.014234
HPE,20180131,16.4,2257855.0,0.142061,0.050627,0.02944
HPE,20180228,18.59,2992026.0,0.133537,-0.039511,-0.04004
HPE,20180329,17.54,2620232.0,-0.052448,-0.018454,0.001183
HPE,20180430,17.05,2424399.0,-0.027936,0.00471,0.008205
HPE,20180531,15.24,2961934.0,-0.106158,0.026175,0.034612
HPE,20180629,14.61,2633063.0,-0.033957,0.005363,0.002819
HPE,20180731,15.44,1615130.0,0.056810,0.031603,0.0068
HPE,20180831,16.53,2235231.0,0.070596,0.030204,0.019158
HPE,20180928,16.31,2042518.0,-0.006503,0.000432,-0.010314
HPE,20181031,15.25,2178946.0,-0.064991,-0.074076,-0.082433
HPE,20181130,15.0,2372746.0,-0.016393,0.018489,0.000576
HPE,20181231,13.21,2765208.0,-0.111833,-0.089889,-0.09931
HPE,20190131,15.59,2320537.0,0.180167,0.088295,0.120268
HPE,20190228,16.38,2017590.0,0.050673,0.032724,0.038566
HPE,20190329,15.43,2681646.0,-0.051129,0.012964,-0.003896
HPE,20190430,15.81,1772488.0,0.024627,0.037889,0.020323
HPE,20190531,13.72,2414801.0,-0.132195,-0.061679,-0.064571
HPE,20190628,14.95,1867958.0,0.097850,0.067279,0.049002
HPE,20190731,14.37,1696749.0,-0.038796,0.011854,-0.005245
HPE,20190830,13.82,2344891.0,-0.038274,-0.020339,-0.040001
HPE,20190930,15.17,2121092.0,0.105825,0.016033,0.017681
HPE,20191031,16.41,1852635.0,0.081740,0.019256,0.006291
HPE,20191129,15.83,1906710.0,-0.035344,0.034997,0.026601
HPE,20191231,15.86,1688834.0,0.009476,0.028491,0.044379
HPE,20200131,13.93,1951774.0,-0.121690,-0.001728,-0.013334
HPE,20200228,12.79,1731995.0,-0.081838,-0.077918,-0.069814
HPE,20200331,9.71,3439299.0,-0.231431,-0.141733,-0.207501
