datadate,fyearq,fqtr,tic,conm,rating,atq,ceqq,cheq,chq,cshoq,dlcq,dpq,intanq,ltq,niq,pstkq,pstkrq,seqq,txditcq,xsgaq,capxy,epspxy,costat,mkvaltq,sic
20141231,2014,4,ABT,ABBOTT LABORATORIES,AA,41275,21526,4460,4063,1508.035,4437,356,16265,19636,907,0,0,21526,860,1968,1077,1.13,A,67891.7357,3845
20150331,2015,1,ABT,ABBOTT LABORATORIES,AA,43095,21874,9849,3226,1488.757,2972,358,15834,21107,2292,0,0,21874,,2007,235,0.35,A,68974.1118,3845
20150630,2015,2,ABT,ABBOTT LABORATORIES,AA,44125,23008,11177,4048,1490.441,2899,340,15681,20999,784,0,0,23008,,1984,451,0.87,A,73150.8443,3845
20150930,2015,3,ABT,ABBOTT LABORATORIES,AA,41725,21111,6139,3132,1491.72,2402,374,15594,20506,580,0,0,21111,,1951,862,1.27,A,59996.9784,3845
20151231,2015,4,ABT,ABBOTT LABORATORIES,AA,41247,21211,6125,5001,1472.665,3130,400,15200,19921,767,0,0,21211,808,1897,1110,1.73,A,66137.3852,3845
20160331,2016,1,ABT,ABBOTT LABORATORIES,AA,39637,20722,3957,3334,1469.152,2613,347,15233,18795,316,0,0,20722,,1989,243,0.04,A,61454.6282,3845
20160630,2016,2,ABT,ABBOTT LABORATORIES,AA,39831,20675,4438,2578,1469.995,2896,347,15063,19036,615,0,0,20675,,2030,490,0.44,A,57785.5035,3845
20160930,2016,3,ABT,ABBOTT LABORATORIES,AA,39497,20776,4507,2500,1472.31,2535,340,12486,18601,-329,0,0,20776,,1905,802,0.2,A,62263.9899,3845
20161231,2016,4,ABT,ABBOTT LABORATORIES,AA,52666,20538,18775,18620,1472.869,1325,319,12222,31949,798,0,0,20538,356,1844,1121,0.71,A,56572.8983,3845
20170331,2017,1,ABT,ABBOTT LABORATORIES,AA,70887,31362,8860,8706,1735.272,210,774,40758,39340,419,0,0,31362,,2586,272,0.22,A,77063.4295,3845
20170630,2017,2,ABT,ABBOTT LABORATORIES,AA,71151,31602,9835,9675,1737.443,221,648,40785,39363,283,0,0,31602,,2517,527,0.37,A,84457.1042,3845
20170930,2017,3,ABT,ABBOTT LABORATORIES,AA,72248,32032,11199,11012,1740.601,715,756,40644,40030,603,0,0,32032,,2507,790,0.7,A,92878.4694,3845
20171231,2017,4,ABT,ABBOTT LABORATORIES,AA,76250,30897,9610,9407,1743.602,714,843,45493,45152,-828,0,0,30897,2006,2740,1135,0.2,A,99507.3661,3845
20180331,2018,1,ABT,ABBOTT LABORATORIES,AA,70908,31399,4042,3857,1753.188,737,852,45170,39307,418,0,0,31399,,3023,275,0.23,A,105051.025,3845
